Layer 1,Layer 2,Layer 3,dâ€™
400,100,NA,2.1396
400,50,NA,2.1388
400,25,NA,1.9703
300,100,NA,2.0796
300,50,NA,2.0832
300,25,NA,1.8941
200,100,NA,1.929
100,100,NA,1.2128
100,50,NA,1.4912
100,25,NA,0.83647
100,5,NA,0.87306
50,100,NA,0.95164
50,50,NA,0.55621
50,25,NA,0.56252
50,5,NA,0.59102
25,100,NA,1.0763
25,50,NA,0.559999
25,25,NA,0.96641
25,5,NA,0.65805
5,100,NA,0.40704
5,50,NA,0.42633
5,25,NA,0.79336
5,5,NA,NAN
100,100,25,1.1484
100,100,10,0.92931
100,100,5,0.97515
100,50,25,NAN
100,50,10,0.83845
100,50,5,1.1878
100,25,25,1.0028
100,25,10,1.0515
100,25,5,0.84552
